"Country","ISO","Population","PopDensity","IncHIV1","PrevHIV","HDI","Vaccine","ARTCov","MedianAge","LifeExpect","GDPperCapita"
"France","FRA",65273500,122.58,1.352427173,112.2596385,0.901,"IPV",NA,42,82.66,38606
"Micronesia (Federated States of)","FSM",115021,150.78,151.8543616,1228.183679,0.62,"IPV",NA,23,67.88,3299
"Gabon","GAB",2225730,7.86,238.750103,5570.12834,0.703,"OPV",56,23.1,66.47,16562
"United Kingdom","GBR",67886000,272.9,3.596255638,172.7239851,0.932,"IPV",NA,40.8,81.32,39753
"Georgia","GEO",3989180,65.03,26.2733465,70.50148244,0.812,"OPV",65,38.7,73.77,9745
"Ghana","GHA",31072900,126.72,49.16323625,1945.543201,0.611,"OPV",45,21.1,64.07,4228
"Guinea","GIN",13132800,51.76,70.1416204,2183.478641,0.477,"OPV",53,19,61.6,1999
"Gambia","GMB",2416660,207.57,106.9798963,2269.806796,0.496,"OPV",31,17.5,62.05,1562
"Guinea-Bissau","GNB",1968000,66.19,74.00212324,3291.522387,0.48,"OPV",45,19.4,58.32,1549
"Equatorial Guinea","GNQ",1402980,45.19,582.9492507,11451.81288,0.592,"OPV",35,22.4,58.74,22605
"Greece","GRC",10423100,83.48,1.745889812,46.39503956,0.888,"IPV",67,45.3,82.24,24574
"Grenada","GRD",112519,317.13,25.86808743,263.8519808,0.779,"OPV",NA,29.4,72.4,13594
"Greenland","GRL",56772,0.14,61.13631975,424.2364881,NA,"IPV",NA,NA,71.7,NA
"Guatemala","GTM",17915600,157.83,39.84083845,160.6646896,0.663,"OPV",63,22.9,74.3,7424
"Guam","GUM",NA,NA,29.21467957,70.11601438,NA,NA,NA,NA,NA,NA
"Guyana","GUY",786559,3.95,172.3344915,1836.791457,0.682,"OPV",67,26.3,69.91,7435
"Honduras","HND",9904610,82.81,12.74664243,99.21571302,0.634,"OPV",53,24.9,75.27,4542
"Croatia","HRV",4105270,73.73,1.96398887,9.854433575,0.851,"IPV",73,44,78.49,22670
